Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
tokens per iteration will be: 524,288
Training DataLoader: total number of tokens: 5000000000 across 50 files
Validation DataLoader: total number of tokens: 100000000 across 1 files
Initializing a new model from scratch
num decayed parameter tensors: 51, with 193,658,880 parameters
num non-decayed parameter tensors: 109, with 271,488 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: val loss 10.8264
iter 143: loss 6.9145, time 1759.94ms, lr 0.002998486578009524, norm:  0.2366, tok/sec: 297901.16092873196
iter 144: loss 6.9895, time 1759.19ms, lr 0.0029984653408814737, norm:  0.2489, tok/sec: 298028.78279122215
iter 145: loss 6.9887, time 1760.01ms, lr 0.0029984439558608236, norm:  0.3069, tok/sec: 297889.61938833166
iter 146: loss 7.0341, time 1759.38ms, lr 0.002998422422949684, norm:  0.3440, tok/sec: 297996.5944935311
iter 147: loss 7.0912, time 1760.23ms, lr 0.0029984007421501803, norm:  0.2899, tok/sec: 297852.0146992952
iter 148: loss 7.1604, time 1759.88ms, lr 0.0029983789134644524, norm:  0.3202, tok/sec: 297911.0082646061
iter 149: loss 7.2650, time 1759.88ms, lr 0.002998356936894654, norm:  0.2283, tok/sec: 297910.6853908123
iter 150: loss 6.8606, time 1760.54ms, lr 0.0029983348124429554, norm:  0.2675, tok/sec: 297799.7389779713
iter 151: loss 7.0158, time 1759.86ms, lr 0.0029983125401115388, norm:  0.2356, tok/sec: 297914.5599225295
iter 152: loss 6.5554, time 1760.45ms, lr 0.002998290119902603, norm:  0.2445, tok/sec: 297814.419503266
iter 153: loss 7.1399, time 1759.78ms, lr 0.002998267551818361, norm:  0.3139, tok/sec: 297928.16194114333
iter 154: loss 7.0845, time 1760.08ms, lr 0.00299824483586104, norm:  0.2846, tok/sec: 297876.54543693585
iter 155: loss 7.1887, time 1760.22ms, lr 0.002998221972032882, norm:  0.2159, tok/sec: 297853.70912691863
iter 156: loss 6.9837, time 1759.15ms, lr 0.002998198960336143, norm:  0.2718, tok/sec: 298035.68984394835
iter 157: loss 6.9728, time 1760.03ms, lr 0.0029981758007730955, norm:  0.3715, tok/sec: 297885.0595156947
iter 158: loss 6.9366, time 1759.94ms, lr 0.0029981524933460238, norm:  0.2394, tok/sec: 297900.5555809636
iter 159: loss 6.9896, time 1759.61ms, lr 0.0029981290380572292, norm:  0.2516, tok/sec: 297956.4597336902
iter 160: loss 6.7075, time 1759.82ms, lr 0.0029981054349090264, norm:  0.2196, tok/sec: 297921.8653033487
iter 161: loss 6.9348, time 1760.01ms, lr 0.0029980816839037445, norm:  0.2778, tok/sec: 297889.21585414937
iter 162: loss 6.9420, time 1760.14ms, lr 0.002998057785043728, norm:  0.2603, tok/sec: 297867.5476741518
iter 163: loss 6.8696, time 1760.22ms, lr 0.0029980337383313364, norm:  0.6126, tok/sec: 297854.4353160874
iter 164: loss 6.8535, time 1759.85ms, lr 0.0029980095437689416, norm:  0.3982, tok/sec: 297915.528571206
iter 165: loss 6.9487, time 1759.53ms, lr 0.0029979852013589325, norm:  0.3768, tok/sec: 297969.8637025189
iter 166: loss 6.7041, time 1759.67ms, lr 0.002997960711103711, norm:  0.3149, tok/sec: 297947.25529690826
iter 167: loss 7.0979, time 1760.20ms, lr 0.002997936073005695, norm:  0.2978, tok/sec: 297856.93666143966
iter 168: loss 7.0221, time 1759.99ms, lr 0.0029979112870673146, norm:  0.3136, tok/sec: 297892.4845124639
iter 169: loss 6.9136, time 1760.47ms, lr 0.002997886353291018, norm:  0.4063, tok/sec: 297810.62823997677
iter 170: loss 6.8576, time 1759.62ms, lr 0.0029978612716792647, norm:  0.2955, tok/sec: 297955.77341834444
iter 171: loss 7.2079, time 1760.15ms, lr 0.0029978360422345304, norm:  0.4987, tok/sec: 297864.9251101811
